Gene	ROLE	CANCER_TYPE
MAPK1	Act	CESC, CLL, HC, HNSC
MARK2	ambiguous	PAAD
MAX	Act	BRCA, LGG, MBL, MM, PIA, RCCC, UCEC
MB21D2	LoF	HNSC, LUAD, LUSC
MCM3AP	ambiguous	HNSC
MDM2	Act	LEIS
MDM4	Act	BRCA
MECOM	Act	BLCA, CM, DLBCL, PRAD, SBCC, UCEC
MED12	Act	CESC, CLL, GBM, LGG, NB, OS, PRAD
MEF2B	LoF	DLBCL, NHLY
MEN1	LoF	ACC, BRCA, HC, LNET, PAIS
MET	Act	LGG, RCCC, RPC
MGA	LoF	CLL, LUAD
MLLT1	Act	WT
MLLT3	Act	CM
MSI2	ambiguous	NB
MSN	ambiguous	ESCA, SBCC
MTCP1	Act	COREAD
MTOR	Act	AML, ANGS, BRCA, COREAD, HC, LGG, OS, PAIS, RCCC, RCH, UCEC
MYC	Act	AML, BLY, LY, NHLY
MYCN	Act	GBM, MBL, NB, PIA, SBCC, UCEC
MYD88	Act	CLL, DLBCL, NHLY
MYH11	Act	AML, BRCA, LGG, NSPH, PRAD, SBCC
MYH9	Act	BRCA, COREAD, ESCA, HNSC, OV, SBCC, ST
MYO5A	ambiguous	BRCA, NB
NBEA	ambiguous	BC, CM, COREAD, DLBCL, ESCA, HC, PAAD
NCOA1	ambiguous	BRCA
NCOA2	Act	LUAD, LUSC
NCOR1	LoF	BLCA, BRCA, CH, DLBCL, HNSC, MBL, MESO, PRAD, SCLC
NCOR2	Act	BRCA, COREAD, ESCA, HC, PRAD
NEFH	ambiguous	THCA
NF1	LoF	ACC, ALL, AML, BLCA, BRCA, CH, CM, COREAD, GBM, HC, HNSC, LGG, LUAD, LUSC, NB, NSCLC, OV, PCPG, PIA, RCCC, RHBDS, S, THCA
NF2	LoF	CESC, HC, HNSC, MESO, OV, PAAD, RCCC, RPC, SSCC
NFATC2	ambiguous	OS, PAAD
NFE2L2	Act	BLCA, CESC, ESCA, HC, HNSC, LUSC, RPC, UCEC
NFKB2	ambiguous	DLBCL, MM
NFKBIA	LoF	DLBCL, MM
NFKBIE	ambiguous	CLL, CM, DLBCL, NHLY
NIN	LoF	BRCA, COREAD, MESO, ST
NIPBL	LoF	ESCA, LGG
NKTR	Act	AML
NKX2-1	ambiguous	LGG
NONO	LoF	BRCA, CM
NOTCH1	ambiguous	ALL, CESC, CLL, DLBCL, ESCA, HNSC, LGG, LUSC, MBL, MGCT, NSCLC, OV, SBCC, SCLC, SG, SSCC, UCEC, VV
